Document Name,Document Path,Question
Web Development Container.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Web Development Container.md,"Before submitting a job, what commands are used to set the `MYSQL_PATH` environment variable for the database files and the `LSF_DOCKER_VOLUMES` variable to mount webserver files?"
Web Development Container.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Web Development Container.md,"After a job starts, how do I access PHPMyAdmin, and what are the specific username and password required to log in?"
IBM Aspera.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/IBM Aspera.md,"How do I set the necessary environment variables, `ASPERA_SCP_PASS` for the password and `LSF_DOCKER_VOLUMES` to mount the storage directory, before starting an IBM Aspera interactive job?"
IBM Aspera.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/IBM Aspera.md,What is the full `bsub` command to start an interactive job using the `ghcr.io/washu-it-ris/aspera-connect:ubuntu20` Docker image?
IBM Aspera.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/IBM Aspera.md,"How do I use the `ascp` command to download a file, including specifying the path to the ssh key (`-i`), setting a transfer rate limit of 200m (`-l 200m`), and enabling resume mode (`-k 1`)?"
fsl6.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/fsl6.md,"What specific neuroimaging analysis tools, such as FEAT for functional MRI or FDT for diffusion MRI, are included in the FSL6 container?"
fsl6.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/fsl6.md,"When running an FSL6 container on LSF, why is it necessary to set `LSF_DOCKER_PRESERVE_ENVIRONMENT=false`, and what is the consequence of not setting it?"
fsl6.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/fsl6.md,"What are the registry paths for the full and minimum FSL6 Docker images, and what is required to access the source code repository on BitBucket?"
Stata.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Stata.md,"What specific Mounts, Environment Variables, and Docker Image are required to launch an interactive Stata GUI session using the Custom noVNC Image in Open On Demand?"
Stata.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Stata.md,"If I only have a Serial Number, Code, and Authorization from Stata, what are the steps to generate the required `stata.lic` file within the RIS compute environment?"
Stata.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Stata.md,What `export` commands and `bsub` parameters are needed to start an interactive command-line session for Stata mounting a license folder and using the `ghcr.io/washu-it-ris/stata:18` Docker image?
RELION.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RELION.md,"To launch a RELION session in Open On Demand, what specific information do I need to enter for the Docker Image and Environment Variables fields in the ""Custom noVNC Image"" application?"
RELION.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RELION.md,How can I customize the GUI display size for a RELION session from the default 1024x768 resolution?
RELION.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RELION.md,"What software tools, in addition to Relion itself, are included in the Docker image hosted at `ghcr.io/washu-it-ris/relion`?"
Rstudio.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Rstudio.md,"How do I configure RStudio to save new packages to a custom directory, such as `/storage1/fs1/${STORAGE_ALLOCATION}/Active/R_libraries/`, by creating and modifying the `~/.Rprofile` file?"
Rstudio.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Rstudio.md,"When launching an RStudio session via the ""Custom noVNC Image"" application in Open On Demand, what Docker image name (e.g., `ghcr.io/washu-it-ris/rstudio:<tag>`) and environment variables (e.g., `PASSWORD=password`) are required?"
Rstudio.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Rstudio.md,"If an R package like `devtools` fails to install due to missing system dependencies, how can I extend the base `ghcr.io/washu-it-ris/rstudio` Docker image by creating a custom Dockerfile to install requirements like `libcurl4-gnutls-dev` and `libssl-dev`?"
RFdiffusion.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RFdiffusion.md,"How do I configure an interactive GUI session for RFdiffusion using the `Custom noVNC Image` application in Open OnDemand, including the specific values for the ""Mounts"" and ""Docker Image"" fields?"
RFdiffusion.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RFdiffusion.md,"To use the pre-downloaded RFdiffusion models, what is the full file path that should be set for the `inference.model_directory_path` parameter?"
RFdiffusion.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RFdiffusion.md,"When submitting a batch job for RFdiffusion with `bsub`, what value should be set for the `LSF_DOCKER_VOLUMES` environment variable to mount the required reference data?"
Parallel Tar.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Parallel Tar.md,How do I run the `parallel-tar.py` script in a non-interactive session using the `gcr.io/ris-registry-shared/parallel-tar` Docker image?
Parallel Tar.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Parallel Tar.md,How can I customize the `parallel-tar.py` script to change the number of compression threads or remove the source directory upon completion?
Parallel Tar.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Parallel Tar.md,What is the full `bsub` command to start an interactive command-line session for the `parallel-tar` tool on the general-interactive queue?
TensorFlow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/TensorFlow.md,"To start an interactive GUI session for TensorFlow, what information do I need to provide for the 'Environment Variables' and 'Docker Image' fields in the Custom noVNC Image application?"
TensorFlow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/TensorFlow.md,How can I extend the `ghcr.io/washu-it-ris/tensorflow` image to include additional Python packages like pandas and matplotlib?
TensorFlow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/TensorFlow.md,What is the `bsub` command to start an interactive command-line session with the TensorFlow container on a GPU host?
Globus CLI.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Globus CLI.md,"What LSF command is required before starting a Globus CLI job in RIS, and why is this step necessary for the CLI to function?"
Globus CLI.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Globus CLI.md,"Why might I encounter a ""PermissionError: [Errno 13] Permission denied"" when using the Globus CLI, and how can this be resolved?"
Globus CLI.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Globus CLI.md,"After submitting a file transfer using the Globus CLI, is it necessary to keep the interactive job running for the transfer to complete?"
MATLAB.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/MATLAB.md,"After launching a 'Compute RIS Desktop' session in Open On Demand, what specific commands are required to load and run MATLAB?"
MATLAB.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/MATLAB.md,What command can I run in the terminal to see all the available versions of MATLAB that I can load?
MATLAB.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/MATLAB.md,"When starting an interactive MATLAB command-line session, what must I do if I am a member of more than one compute group?"
Huygens.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Huygens.md,How do I start an interactive GUI session for a specific Huygens application like Huygens Professional using Open On Demand (OOD)?
Huygens.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Huygens.md,"How can I run the command-line version of Huygens, `hucore`, in an interactive session on the compute cluster?"
Huygens.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Huygens.md,How do I properly mount my Huygens license file to avoid manual login and bypass the freeware version?
Nextflow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Nextflow.md,"How do I run a Nextflow job using the interactive `Compute RIS Desktop` on Open On Demand, and what specific path must be included in the `Mounts` field?"
Nextflow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Nextflow.md,"When running a Nextflow job in a command-line session, what two types of paths must be included in the `LSF_DOCKER_VOLUMES` environment variable?"
Nextflow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Nextflow.md,How should a Nextflow config file's `process` block be configured to use the `lsf` executor and specify `clusterOptions` that enable Docker container usage?
Github Enterprise.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/Github Enterprise.md,What information is required when submitting a request for a new GitHub Enterprise organization through the RIS Service Desk?
Github Enterprise.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/Github Enterprise.md,"Can I use GitHub Copilot with confidential, sensitive, or protected health information (PHI), and are there recommended security practices for its use?"
Github Enterprise.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/Github Enterprise.md,"What is the process for migrating an existing GitHub organization into the WashU Enterprise account, and what happens to the organization's ownership and billing?"
Omero.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/Omero.md,What are the prerequisites for a Washington University user to start using the OMERO service for CryoEM images?
Omero.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/Omero.md,"After downloading the OMERO Insight client, what is the server address needed to configure it for the WashU RIS OMERO service?"
Omero.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/Omero.md,Who should I contact for support with OMERO-specific application errors versus issues accessing the WashU OMERO portal?
LabArchives Notebook.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/LabArchives Notebook.md,How do I access the Washington University Electronic Laboratory Notebook (ELN) through LabArchives?
LabArchives Notebook.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/LabArchives Notebook.md,"As a user of the WashU ELN, what specific university and LabArchives policies am I required to abide by?"
LabArchives Notebook.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/LabArchives Notebook.md,What recorded training sessions from the Becker Medical Library are available for researchers and instructors using LabArchives?
WashU ELN FAQ.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/LabArchives Notebook/WashU ELN FAQ.md,I already have a LabArchives account using my @wustl.edu email. How can I integrate it with the WashU ELN service to use WashU Key single sign-on?
WashU ELN FAQ.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/LabArchives Notebook/WashU ELN FAQ.md,"Who controls access to my WashU ELN lab notebook, and can the University or LabArchives staff view my data?"
WashU ELN FAQ.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services/LabArchives Notebook/WashU ELN FAQ.md,Which members of the Washington University community are eligible to use the university-funded WashU ELN service?
Local VNC Viewer.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Local VNC Viewer.md,Can I connect to the RIS compute services using a VNC viewer on a Windows computer?
Local VNC Viewer.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Local VNC Viewer.md,"What specific software packages, such as TurboVNC Viewer and expect, must I install on my local MacOS computer to prepare for a VNC connection?"
Local VNC Viewer.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Local VNC Viewer.md,"After downloading `LaunchDesktop.zip`, how do I configure the `LaunchDesktop` file with my WashU Key and use it to generate the VNC connection command?"
Docker and the RIS Compute1 Platform.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Docker and the RIS Compute1 Platform.md,How are Docker commands executed on the Compute1 platform if users interact with the LSF scheduler via `bsub` instead of the `docker run` command directly?
Docker and the RIS Compute1 Platform.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Docker and the RIS Compute1 Platform.md,What is the process for building a Docker image on the Compute1 cluster using the `docker_build` application and pushing it to a private repository?
Docker and the RIS Compute1 Platform.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Docker and the RIS Compute1 Platform.md,"Why might my Docker job fail with a ""no such file or directory"" error, and what is the requirement for images to run on the Compute1 platform?"
Compute1 Quickstart.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Compute1 Quickstart.md,"If I am off campus, what are the requirements for connecting to the Compute1 platform via SSH?"
Compute1 Quickstart.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Compute1 Quickstart.md,What is the required format for the 'Mounts' field when starting an application in Open On Demand (OOD) to access my storage allocation?
Compute1 Quickstart.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Compute1 Quickstart.md,"To use the Open On Demand (OOD) web interface at ood.ris.wustl.edu, is there a required first step I must complete?"
Open OnDemand.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Open OnDemand.md,"Before using the Open OnDemand web interface, what is the required setup step involving the `compute1` platform to ensure my home directory is properly configured?"
Open OnDemand.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Open OnDemand.md,"When using the ""Files"" application within Open OnDemand, am I able to navigate to storage platforms like `storage1` and `storage2`, or to the `scratch1` directory?"
Open OnDemand.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Open OnDemand.md,"When creating a batch job script in the Open OnDemand Job Composer, what is the mandatory `-g` option that must be included, and how must each `bsub` option be formatted?"
Access Storage Volumes.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Access Storage Volumes.md,What are the differences between the temporary scratch space at `/scratch1/fs1/${COMPUTE_ALLOCATION}` and the cached storage view at `/storage1/fs1/${STORAGE_ALLOCATION}`?
Access Storage Volumes.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Access Storage Volumes.md,"How do I make multiple storage volumes, such as my home directory and scratch space, accessible inside a compute job's container using the `LSF_DOCKER_VOLUMES` environment variable?"
Access Storage Volumes.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Access Storage Volumes.md,"What is the data retention policy for the `/scratch` space, including the quota size for my compute group and when files are automatically deleted?"
Using OFED in Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Using OFED in Docker Images.md,"What is the recommended OFED version for Docker images on the Scientific Compute Platform, and what specific flags like `--user-space-only` should be used during the `mlnxofedinstall` command?"
Using OFED in Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Using OFED in Docker Images.md,"How do I submit a test MPI job using a `bsub` file for my Docker image, and what specific environment variables like `LSF_DOCKER_NETWORK=host` must be set?"
Using OFED in Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Using OFED in Docker Images.md,"How do I run a specific OSU Benchmark test, such as the bandwidth test (`osu_bw`), using the provided `docker-osu-micro-benchmarks` repository?"
Software Development Using Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Software Development Using Compute1.md,"To prepare my environment on the RIS Compute Platform, how do I edit the `.bash_profile` file to mount storage volumes for Docker jobs, and what is the recommended best practice for setting the `LSF_DOCKER_VOLUMES` variable?"
Software Development Using Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Software Development Using Compute1.md,"Since the official `perl:slim-threaded` Docker image lacks `git`, what is the full `RUN` command needed in the Dockerfile to update `apt-get` and install `git`, and what is the `bsub` command to build this image on Compute1?"
Software Development Using Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Software Development Using Compute1.md,"When versioning the `ris-perl-example` script, what is the full `git` command used to create and switch to a new branch named `v1.0.0`, and what specific `git push` command is needed to upload this new branch to GitHub for the first time?"
Compute1 Condo and Subscription Queues.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Compute1 Condo and Subscription Queues.md,"How do I submit a batch job to a Subscription Tier queue, and what are the required `-q`, `-G`, and `-sla` parameters?"
Compute1 Condo and Subscription Queues.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Compute1 Condo and Subscription Queues.md,"What are the guaranteed vCPU and GPU resources for Subscription Tiers 1, 2, and 3, and what happens if a job requests more GPUs than its tier guarantees?"
Compute1 Condo and Subscription Queues.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Compute1 Condo and Subscription Queues.md,"Why does my job fail with the error ""You must select an LSF User group that matches the condo type,"" and how can I fix it?"
Parallel Computing.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Parallel Computing.md,What environment variables and bsub parameters are required to run a multi-host MPI application within a Docker container?
Parallel Computing.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Parallel Computing.md,What is the suggested best practice for the number of GPUs a single user should allocate at one time?
Parallel Computing.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Parallel Computing.md,"When submitting a GPU job, what is the correct syntax for the -R option if I need to request a GPU host (gpuhost) in addition to other resources?"
R Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/R Tutorial.md,How can I start an interactive R session on the RIS Compute Platform using the public `r-base:latest` Docker image?
R Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/R Tutorial.md,"My Docker build fails when installing the `DESeq2` R package. What is the correct Dockerfile configuration for an `r-base` image to install `DESeq2` and its dependencies, including `BiocManager` and required OS libraries like `libcurl4-openssl-dev`, `libssl-dev`, and `libxml2-dev`?"
R Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/R Tutorial.md,"When generating PDF graphs for numerous genes in a loop, how can my R script automatically convert gene names with special characters into valid filenames to prevent errors?"
RTM.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/RTM.md,"How do I log in to the IBM Spectrum LSF RTM for the RIS Compute Platform, and what credentials and login option should I use?"
RTM.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/RTM.md,"What information does the RTM JobIQ Dashboard provide for monitoring my jobs, such as current status, pending reasons, and daily throughput?"
RTM.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/RTM.md,"In the RTM Cluster Dashboard, what actions can I take to monitor an execution node (host) and what specific details are shown, such as CPU percentage, memory usage, and the number of job slots in use?"
Job Execution Examples.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Job Execution Examples.md,"How do I start an interactive job in a container that has access to all my data, including my home directory, my `/storageN` allocation, and my `/scratch1` space?"
Job Execution Examples.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Job Execution Examples.md,"I've submitted more than five jobs, but only five seem to run at a time while the rest are pending. How can I increase this limit to run more simultaneous jobs by creating a job group?"
Job Execution Examples.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Job Execution Examples.md,"How do I submit a job that requires a specific GPU model, like a `TeslaV100_SXM2_32GB`, and also reserve a specific amount of GPU memory, such as 8GB?"
Space Management.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Space Management.md,"What are the supported methods for transferring data to the Scientific Compute Platform, and what is the policy for using tools like `rsync` or `scp`?"
Space Management.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Space Management.md,"How can I check the storage usage for my Compute Service home directory, and what is the per-user space limit?"
Space Management.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Space Management.md,"Why might the storage usage for a Storage Platform Allocation's cache interface, checked with `df -Ph`, report a different value than the usage reported by the SMB interface?"
Port Forwarding.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Port Forwarding.md,What is the specific SSH command syntax to establish port forwarding for a GUI job running on a compute node?
Port Forwarding.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Port Forwarding.md,"After successfully setting up SSH port forwarding using local port 8080, what specific URL do I use in my web browser to connect to the GUI?"
Port Forwarding.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Port Forwarding.md,"In the port forwarding command `ssh -L 8080:compute1-exec-N.compute.ris.wustl.edu:8901`, what do the placeholders `N`, `8080`, and `8901` represent?"
Using CUDA in Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Using CUDA in Docker Images.md,What are some recommended base images for building a Docker container that uses CUDA 12.4 for the Scientific Compute Platform?
Using CUDA in Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Using CUDA in Docker Images.md,"How can I test my CUDA-enabled Docker image using the OSU micro-benchmarks, including the steps to clone the test repository and run the test script?"
Using CUDA in Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Using CUDA in Docker Images.md,"What is the specific command to run an OSU Benchmark GPU test, such as the bandwidth test (osu_bw), and what do the placeholders in the command represent?"
Visual Studio Code on Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Visual Studio Code on Compute1.md,I am using Visual Studio Code version 1.101 or newer and having trouble connecting to Compute1; what should I do?
Visual Studio Code on Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Visual Studio Code on Compute1.md,How do I set up my first SSH connection to a Compute1 login client using the 'Remote - SSH' extension in Visual Studio Code?
Visual Studio Code on Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Visual Studio Code on Compute1.md,"After connecting to Compute1 through Visual Studio Code, what is the required process for testing code or scripts on the compute resources?"
Docker Wrapper Environment Variables.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Docker Wrapper Environment Variables.md,"How do I use the `LSF_DOCKER_VOLUMES` variable to mount a host directory into my container, and am I allowed to mount individual files?"
Docker Wrapper Environment Variables.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Docker Wrapper Environment Variables.md,"When using `LSF_DOCKER_PORTS` to expose a container port, what is the approved port range, and why might it not work if `LSF_DOCKER_NETWORK` is set to ""host""?"
Docker Wrapper Environment Variables.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Docker Wrapper Environment Variables.md,"How can I run a Docker container using its own built-in command, like the `hello-world` image, without providing a separate command to the `bsub` scheduler?"
Intel® Compiler Base Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Intel® Compiler Base Tutorial.md,Why is a multi-stage Docker build recommended over a single-stage build for compiling with the Intel Compiler Base image?
Intel® Compiler Base Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Intel® Compiler Base Tutorial.md,"What is the full `bsub` command used to submit an interactive, 20-core job to run the MPI-enabled ""Hello World"" program on the Scientific Compute Platform?"
Intel® Compiler Base Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1/Intel® Compiler Base Tutorial.md,"In the multi-stage build example, what commands are used inside the Dockerfile to compile the `mpi_hello_world.c` file using the Intel MPI C compiler?"
